"city","datetime","temp","temp_min","temp_max","weather_description","humidity","wind_speed"
"Suzhou",1691323200,28.05,28.05,28.05,"clear sky",75,3.32
"Suzhou",1691334000,26.41,26.41,26.41,"clear sky",83,2.11
"Suzhou",1691344800,25.48,25.48,25.48,"clear sky",86,1.79
"Suzhou",1691355600,24.86,24.86,24.86,"clear sky",89,2.11
"Suzhou",1691366400,28.61,28.61,28.61,"clear sky",74,2.72
"Suzhou",1691377200,32.63,32.63,32.63,"clear sky",57,3.15
"Suzhou",1691388000,33.81,33.81,33.81,"light rain",55,4.15
"Suzhou",1691398800,30.66,30.66,30.66,"light rain",73,4.63
"Suzhou",1691409600,27.27,27.27,27.27,"light rain",85,4.04
"Suzhou",1691420400,25.7,25.7,25.7,"clear sky",89,3.07
"Suzhou",1691431200,24.86,24.86,24.86,"clear sky",91,3.07
"Suzhou",1691442000,24.15,24.15,24.15,"clear sky",92,2.81
"Suzhou",1691452800,27.45,27.45,27.45,"clear sky",79,3.38
